ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3007.5057471264367,-1766.8735632183907,-781.7241379310345,-10538.896551724138,-3401.0689655172414,-11549.689655172413,3105.9092693312678,2668.1114934387883,2352.2074067608437,15993.32265839234,13389.650877991828,23694.187823874847,4329.890918697155,3204.01301890104,2481.6812293560047,19162.45851215039,13872.557849072466,26282.227592612562,19355.0,5556.103448275862,338.0,94436.0,38722.183908045976,994.0,39198.764639909314,39198.764639909314,15243266656.441032,15243266656.441032,4.11280637144062,2.9660746272821106,99.14192752099218,49.332211065021866,-0.05594908826473933,-0.05594908826473933
-2891.8977272727275,-1090.0113636363637,-359.64772727272725,-7963.727272727273,-8648.056818181818,-5399.943181818182,3058.631081374873,2408.0927334696303,2653.2623143675255,19680.67919807398,13302.731731926366,23237.300341553757,4203.208537696368,2646.732726400609,2677.0910370128518,21186.332075077426,15862.896134820114,23800.703996702206,15153.0,4359.261363636364,95.0,78273.0,40104.27272727273,3239.0,-582.0584310977292,-582.0584310977292,376971758.0260344,376971758.0260344,4.2440401889301755,2.4363972336437323,128.88229092299082,36.93269871079211,-0.05594317702753694,-0.05594317702753694
-3067.103448275862,-1707.3218390804598,-56.298850574712645,-8784.252873563219,-5953.735632183908,-6630.0,4036.199701402734,3637.2394011241236,2741.4542284813406,16071.208228315647,13064.274763331152,23708.636603760988,5076.283002989174,4019.7046025739282,2742.04785876726,18251.57362259894,14352.991020337366,24552.451832525927,22321.0,4831.551724137931,36.0,67447.0,32858.14942528736,3177.0,2093.2057890279902,2093.2057890279902,183329611.96073243,183329611.96073243,6.27318811629585,2.1628779011638466,160.40835967187547,-14.691287879983351,-0.0564529198017102,-0.0564529198017102
-3407.0,-1818.8295454545455,-898.0909090909091,-4557.738636363636,-13961.25,-2265.215909090909,3245.0892567217484,2838.8727853553414,3004.337842488244,19464.80865849845,11816.6013391972,24264.69313117019,4715.138017357209,3369.018337263569,3138.4001244119736,19958.621531638448,18354.065726823184,24338.914234718854,17252.0,6123.920454545455,305.0,85687.0,32282.113636363636,262.0,2494.69447923307,2494.69447923307,39280071.7065981,39280071.7065981,2.8830920336410677,2.3947133144245796,84.63526382439937,47.82076171138472,-0.05627171202547873,-0.05627171202547873
-2251.264367816092,-1347.2643678160919,-639.5632183908046,-10128.586206896553,-3732.4827586206898,-10507.091954022988,2729.602990749366,2817.8823353683374,1989.3096712378974,14570.260429184194,12381.482971727104,22206.676980478063,3536.9702308321885,3129.344755328366,2089.967474861035,17767.770369957514,12965.141767735178,24506.77530689276,21081.0,4249.954022988506,41.0,98301.0,36879.67816091954,401.0,5957.8292176947725,5957.8292176947725,199646363.3645967,199646363.3645967,6.921961861435065,3.373420632467024,168.76560399840966,65.90766888267054,-0.057091374877842174,-0.057091374877842174
-4018.1363636363635,-2177.4545454545455,-683.5454545454545,-5666.954545454545,-12407.170454545454,-5320.431818181818,3880.5180140852235,3958.866969285957,3142.7350812692703,21580.377794302203,13243.398558896366,25254.222731754613,5592.551222994581,4522.594275111656,3216.447899610546,22271.71813084927,18100.555142478617,25761.912538844837,26333.0,6924.363636363636,85.0,98304.0,39237.420454545456,511.0,2612.447341468822,2612.447341468822,28797519.94194142,28797519.94194142,3.7462968963873773,3.4423761547603946,112.09079315103713,76.18989780034765,-0.057140765548132785,-0.057140765548132785
-3836.2988505747126,-2280.9885057471265,-861.8850574712644,-8422.264367816091,-4952.942528735633,-8968.103448275862,3725.653731646547,3683.111666910183,2715.554385462695,18421.963856021976,14737.929467746233,24059.444075271844,5356.991073011214,4340.31118911891,2848.520438693599,20221.179965172854,15560.488447109998,25637.119492516376,27448.0,6979.172413793103,48.0,91899.0,33557.816091954024,1945.0,981.8104165768092,981.8104165768092,55558118.23713101,55558118.23713101,4.224665229076641,2.774599502033393,125.76672067271627,49.74294530339597,-0.05720081213859381,-0.05720081213859381
-3679.681818181818,-2324.25,-870.3977272727273,-3656.306818181818,-10585.545454545454,-3590.8977272727275,3531.6421255824307,3493.8054751450327,2946.6991932886954,21814.87743162349,14897.88717360021,25246.098671665546,5097.944810946324,4208.278661811091,3069.9010625899505,22105.978574039855,18420.6796889948,25487.253492276202,24559.0,6896.170454545455,23.0,82531.0,34397.431818181816,827.0,3140.1710049620306,3140.1710049620306,38124498.924482234,38124498.924482234,3.330644027434457,2.6521148985784944,102.70018463285064,61.42066314165096,-0.05677532993308252,-0.05677532993308252
-3658.6136363636365,-2906.8636363636365,-449.4318181818182,-3795.0113636363635,-8402.943181818182,-6322.738636363636,4166.370965550299,3807.258740015585,3138.9114202017226,22391.984032253502,15726.488874263512,25121.549232152753,5555.016516627111,4798.09058613187,3169.712917169744,22693.378303583304,17874.528341838333,25878.226778817538,25621.0,7039.931818181818,12.0,71628.0,38681.01136363636,1440.0,3216.8158250447896,3216.8158250447896,25721236.282126874,25721236.282126874,3.4635613243462546,2.643271983200654,107.35006203431908,-11.88662382720249,-0.0564499811202872,-0.0564499811202872
-3473.1609195402298,-2009.9885057471265,-806.7701149425287,-6975.540229885058,-11111.988505747126,-1369.4022988505747,3636.569327630923,3515.8638074950445,3020.0323154680696,18405.623666662505,14400.996887422896,24951.005757564828,5014.105864527559,4030.736516081021,3127.659800487612,19563.48248680419,18202.785747709375,24968.338997135193,20409.0,6294.816091954023,8.0,83959.0,33538.5632183908,53.0,5664.727132564265,5664.727132564265,65956180.728055954,65956180.728055954,3.0968308241975033,2.7356866077557127,92.3326260166367,51.25554989746354,-0.05670825393154722,-0.05670825393154722
