ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3515.1941747572814,-2005.0582524271845,629.747572815534,7130.57281553398,4634.543689320389,-3935.4271844660193,3210.0913074843093,4046.871594479,2394.2050037348968,18464.5467236203,13979.602228426767,21663.476312741237,4755.76406018176,4515.926761425954,2473.8028113644314,19723.337438147457,14779.564870691907,22002.795072444773,24603.0,5477.417475728155,10.0,50977.0,17859.961165048542,456.0,38061.25139471997,38061.25139471997,8947387024.130255,8947387024.130255,4.351509271529692,2.245960536368522,167.85227710848847,53.76590680740145,-0.05508904712272777,-0.05508904712272777
-3719.1346153846152,-1636.3557692307693,692.2788461538462,9466.932692307691,2729.2403846153848,-4918.596153846154,2711.361074634784,2419.7819262148555,3000.9231203163054,22627.85287490649,16716.590494782333,22945.08642590754,4591.372875798194,2909.7875930277905,3079.1271225037885,24443.04085463087,16948.0232807546,23419.354622257993,18273.0,5796.576923076923,128.0,42926.0,17008.23076923077,83.0,2528.872973265777,2528.872973265777,585716264.9948977,585716264.9948977,4.610065459664441,1.4945178226888893,139.4435602266027,29.511330578100353,-0.05610888143475562,-0.05610888143475562
-3566.3365384615386,-1778.7307692307693,910.7692307692307,6623.548076923077,5331.538461538462,-3779.4903846153848,3237.079238227814,3412.6261429595133,2502.9356258739467,19600.159722123284,15372.333104665406,23153.04639519695,4812.199078503907,3848.9204505439425,2662.0523278391515,20609.529925731335,16287.886703597578,23437.59821128141,22504.0,5109.990384615385,14.0,54559.0,18377.44230769231,612.0,4154.186865874135,4154.186865874135,243471019.90094346,243471019.90094346,4.762385538117261,2.3586774072977548,176.99234666139168,55.427874593343276,-0.05634215513235995,-0.05634215513235995
-3195.951923076923,-1232.6826923076924,516.1730769230769,11873.057692307691,3654.2884615384614,-6367.442307692308,2546.165089207247,2573.362289649768,2714.22115275416,18787.554898957154,15568.777207709112,19938.799568197483,4079.188961857303,2845.543578934504,2762.176719684899,22132.776378727754,16015.495993063909,20886.53477261588,18081.0,4905.115384615385,24.0,60705.0,17314.73076923077,32.0,4231.833757901541,4231.833757901541,101958631.01955117,101958631.01955117,5.271597933999205,3.025952837328508,185.3288345442914,104.53499042156304,-0.05605688580340686,-0.05605688580340686
-3676.7087378640776,-2173.9223300970875,879.8737864077669,7661.57281553398,6324.611650485437,-4246.378640776699,3581.9304707229085,4332.441153692693,2756.1612193438036,19920.88659782863,13664.740440809055,22078.693866032423,5131.257635544146,4850.847714925511,2891.4241174868253,21268.72090813082,15100.79574544438,22448.279881990828,25500.0,5515.0679611650485,23.0,62526.0,17333.78640776699,323.0,4250.231146030646,4250.231146030646,49457623.49959341,49457623.49959341,4.447091546007066,4.0776340997582565,168.62257772121737,102.62596702653708,-0.0559745515874297,-0.0559745515874297
-3565.0,-1515.423076923077,751.3942307692307,8526.682692307691,6044.836538461538,-2897.375,2486.9596185364107,2399.0119752928363,2720.3198847580743,23210.48558860283,17071.137228276926,23373.941992815497,4333.503914048875,2817.0238352668475,2820.9945037849,24632.589387099797,18132.49659159573,23524.68900125503,17383.0,5264.721153846154,5.0,53357.0,19755.778846153848,0.0,2534.235020723974,2534.235020723974,93306886.2185363,93306886.2185363,4.6710436750583835,1.9197869706682515,150.2327529969726,38.979690201827175,-0.05684250397336954,-0.05684250397336954
-3871.0096153846152,-2183.9326923076924,798.8461538461538,10929.432692307691,2789.721153846154,-5440.221153846154,3714.438086936138,4061.4554432317223,2784.642977537045,20959.442716447735,16004.514947882215,22822.29083335016,5364.645483483651,4612.394023172782,2894.0296035379192,23534.78786960502,16258.769505018136,23432.32331569266,26946.0,5725.961538461538,24.0,60315.0,16735.490384615383,65.0,3862.1694920329937,3862.1694920329937,61003662.84238724,61003662.84238724,4.6629409158433575,3.294066428230427,171.79359425910388,99.2738115110462,-0.05667640120363612,-0.05667640120363612
-3757.855769230769,-1435.9134615384614,654.1057692307693,9009.346153846154,2557.7403846153848,-4021.2884615384614,2905.106449142022,2359.5354991692693,3078.253612800384,22747.49930858261,17473.692097824805,21771.496438200877,4728.529260896442,2742.51111946417,3143.683356840654,24375.023422079477,17682.371757520366,22100.082642118366,19382.0,5685.721153846154,334.0,48907.0,18226.028846153848,155.0,3278.8733991188055,3278.8733991188055,41278809.9373725,41278809.9373725,4.550949772593424,2.096579424107303,148.13696308054398,47.32878224575129,-0.055793100895307784,-0.055793100895307784
-3681.5096153846152,-1934.8173076923076,432.52884615384613,10852.875,4873.807692307692,-5394.634615384615,2994.5562776662014,3106.8514925703994,2606.1757820075695,20728.223074889895,13517.573483535443,24151.98011614971,4714.1442805748875,3669.3477477926194,2647.185524651243,23295.40834647133,14406.549892590256,24749.13003249578,20089.0,5576.278846153846,3.0,48507.0,18781.64423076923,39.0,2898.0186831606748,2898.0186831606748,39503714.506658405,39503714.506658405,3.3418715817373768,2.2009039852754735,122.32164740950735,45.61583773653859,-0.05579217762003851,-0.05579217762003851
-3141.223300970874,-2284.4563106796118,1740.0776699029127,4028.669902912621,8032.1067961165045,-1058.4174757281553,3321.1610938067365,3006.8790244494357,2688.604325815097,20401.81496562452,14962.456239164407,24111.568702745088,4512.449921191606,3753.7360741750485,3198.8504731410253,20861.09150748098,16849.502827789587,24148.96042768434,21930.0,4958.689320388349,31.0,62261.0,19422.126213592233,287.0,1738.5348821618916,1738.5348821618916,12281483.745324938,12281483.745324938,6.173882055693651,2.2041317095780126,210.81175999859272,51.73314369631358,-0.05636417330421854,-0.05636417330421854
